date, Wind power forecast, Ampirion zonal load forecast,OT
2012/1/9 0:00,2072,16382,34.97
2012/1/9 1:00,1929.75,15410.5,33.43
2012/1/9 2:00,1856,15595,32.74
2012/1/9 3:00,1808.75,16521,32.46
2012/1/9 4:00,1765.75,17700.75,32.5
2012/1/9 5:00,1721.75,19348.75,36.13
2012/1/9 6:00,1691.25,23058.5,43.02
2012/1/9 7:00,1723.25,25349.25,59.03
2012/1/9 8:00,1807.75,26336.75,64.48
2012/1/9 9:00,1907.5,26321,58.72
2012/1/9 10:00,2066.25,26702.25,56.48
2012/1/9 11:00,2208.25,27067.25,56.04
2012/1/9 12:00,2378,27118.25,55.7
2012/1/9 13:00,2576.25,27294,54.84
2012/1/9 14:00,2789.5,26945,52.32
2012/1/9 15:00,3099.75,26476.25,50.72
2012/1/9 16:00,3401.75,26262.75,51.89
2012/1/9 17:00,3735.75,27124.75,57.02
2012/1/9 18:00,4165.25,27223.75,61.27
2012/1/9 19:00,4509,26864.75,53.2
2012/1/9 20:00,4810,25721.5,47.31
2012/1/9 21:00,4988.5,24687.25,42
2012/1/9 22:00,5098.75,23773.25,42.19
2012/1/9 23:00,5326.75,21544,41.34
2012/1/10 0:00,6637.5,19653.5,31.92
2012/1/10 1:00,6715.5,18728.75,31.11
2012/1/10 2:00,6652.75,18267.5,30.71
2012/1/10 3:00,6381.25,18869.5,28.06
2012/1/10 4:00,6059.25,19515.5,30.5
2012/1/10 5:00,5595,20626.5,33.82
2012/1/10 6:00,5112.25,23725.25,39.82
2012/1/10 7:00,4673.75,26307.5,47.99
2012/1/10 8:00,4253.25,27139.5,52.96
2012/1/10 9:00,3917.75,27179.5,51.06
2012/1/10 10:00,3607.5,27406,51.06
2012/1/10 11:00,3285.25,27814.25,53
2012/1/10 12:00,3017,27924.25,52.21
2012/1/10 13:00,2772,27863.25,52.96
2012/1/10 14:00,2570.25,27100.75,51.99
2012/1/10 15:00,2385.75,26729.75,51.94
2012/1/10 16:00,2288.5,26989.75,54.96
2012/1/10 17:00,2352,27868.75,61.18
2012/1/10 18:00,2538.5,27728.5,61.18
2012/1/10 19:00,2744.25,27200,56.79
2012/1/10 20:00,2950,26211,48
2012/1/10 21:00,3134.75,25286.5,42.74
2012/1/10 22:00,3300.5,23835.75,42.93
2012/1/10 23:00,3406.25,21477.25,39.67
2012/1/11 0:00,3637.75,19162.75,40.09
2012/1/11 1:00,3925,18353.75,35.92
2012/1/11 2:00,4170.5,18304.25,34.08
2012/1/11 3:00,4459.25,18664.75,29.41
2012/1/11 4:00,4727.75,19372.75,30.11
2012/1/11 5:00,4897.25,20418,36.11
2012/1/11 6:00,5019.5,23549,44
2012/1/11 7:00,5135.75,26177,52
2012/1/11 8:00,5292.5,27151.5,51.91
2012/1/11 9:00,5424.5,27245,51.96
2012/1/11 10:00,5575,27582.75,51.43
2012/1/11 11:00,5740,27984.5,51.99
2012/1/11 12:00,5724.5,28054.5,51.56
2012/1/11 13:00,5597.5,27900.25,50.39
2012/1/11 14:00,5345.75,27226.75,49.03
2012/1/11 15:00,5048.5,26898.5,50.92
2012/1/11 16:00,4779.5,27007.5,49.09
2012/1/11 17:00,4527.75,27847.25,60.2
2012/1/11 18:00,4310,27710,70.99
2012/1/11 19:00,4180.75,27064.25,62.31
2012/1/11 20:00,4143.75,26020.75,56.18
2012/1/11 21:00,4238.5,24954,47.93
2012/1/11 22:00,4494.5,23477.75,47.91
2012/1/11 23:00,4876.25,21096.5,42.48
2012/1/12 0:00,5438.25,18918.5,40.42
2012/1/12 1:00,6124,18156.5,34.44
2012/1/12 2:00,6783,18128,32.02
2012/1/12 3:00,7460.75,18612.25,28.89
2012/1/12 4:00,8107.5,19280.5,29.21
2012/1/12 5:00,8879,20398.75,32.02
2012/1/12 6:00,9683,23854.25,45.21
2012/1/12 7:00,10372.5,24713.75,52.79
2012/1/12 8:00,11019.75,26318,56.42
2012/1/12 9:00,11678,27537.5,53.36
2012/1/12 10:00,12304.5,27759.5,49.03
2012/1/12 11:00,12858.75,27220.25,41.04
2012/1/12 12:00,13150,27153.5,39.35
2012/1/12 13:00,13378.5,26736.5,39.62
2012/1/12 14:00,13381.75,26033,39.35
2012/1/12 15:00,13372.5,26973.75,42.43
2012/1/12 16:00,13062.75,27275.75,43.39
2012/1/12 17:00,12687,28274.5,56.18
2012/1/12 18:00,12151.75,28454,51.52
2012/1/12 19:00,11619.75,27805,49.04
2012/1/12 20:00,11054.75,26234.75,47.77
2012/1/12 21:00,10509.75,25208.25,46.29
2012/1/12 22:00,10117.75,23481.25,45.54
2012/1/12 23:00,9794.5,21077.75,39.16
2012/1/13 0:00,9643.5,19971.5,23.8
2012/1/13 1:00,9520.75,19291,18.44
2012/1/13 2:00,9529.5,19236.75,16.38
2012/1/13 3:00,9505,19411.25,16.36
2012/1/13 4:00,9510,20000.75,18.44
2012/1/13 5:00,9471.5,21871.5,25.83
2012/1/13 6:00,9517,25074.5,36.74
2012/1/13 7:00,9589.25,27528,45.99
2012/1/13 8:00,9673.75,28814,49.99
2012/1/13 9:00,9821.75,28931.25,45.04
2012/1/13 10:00,10027,29132.5,40.24
2012/1/13 11:00,10140.75,28783.25,39.4
2012/1/13 12:00,10151.5,28373.75,38.97
2012/1/13 13:00,10141.25,28019,38.89
2012/1/13 14:00,9922.5,27680.75,39.42
2012/1/13 15:00,9586.5,27545,44.76
2012/1/13 16:00,9106,27820.5,44.11
2012/1/13 17:00,8741.25,28246.25,53.43
2012/1/13 18:00,8586,28088.5,51.58
2012/1/13 19:00,8513,27440.25,46.93
2012/1/13 20:00,8426.5,25411.25,39.74
2012/1/13 21:00,8336.75,25377.25,38.36
2012/1/13 22:00,8216.5,24710.5,37.75
2012/1/13 23:00,8062.25,22733.5,30.04
2012/1/14 0:00,7509.5,20989.75,30.07
2012/1/14 1:00,7169.75,20409.75,28.66
2012/1/14 2:00,6887.5,19716,28.02
2012/1/14 3:00,6560.5,19964.5,29.07
2012/1/14 4:00,6241.25,20265.25,29.47
2012/1/14 5:00,5941,20152,30.73
2012/1/14 6:00,5688.5,20209.25,31.21
2012/1/14 7:00,5376.25,21117,32.1
2012/1/14 8:00,5083.75,22659,38.21
2012/1/14 9:00,4796.5,23747.5,40.15
2012/1/14 10:00,4655.5,24911.25,44.18
2012/1/14 11:00,4651,25433,46.01
2012/1/14 12:00,4675.75,24969.25,45.53
2012/1/14 13:00,4616,24886.5,40.13
2012/1/14 14:00,4440,24254.5,43.69
2012/1/14 15:00,4075,24186.25,43.38
2012/1/14 16:00,3670.25,24494.75,43.4
2012/1/14 17:00,3365.25,25548.25,54.61
2012/1/14 18:00,3126.25,25633.25,62
2012/1/14 19:00,2886.5,25375.75,51.94
2012/1/14 20:00,2629.75,23926.25,45.92
2012/1/14 21:00,2384.75,23318.25,38.95
2012/1/14 22:00,2157.25,23348,44.94
2012/1/14 23:00,1947.75,22062,39.09
2012/1/15 0:00,1902.25,20025.25,38.99
2012/1/15 1:00,1706.25,19233,38.44
2012/1/15 2:00,1584.75,18946.25,37.05
2012/1/15 3:00,1516.75,18276.25,34.55
2012/1/15 4:00,1469.5,17840,32.73
2012/1/15 5:00,1392,17533,33.52
2012/1/15 6:00,1293.5,16814.75,33.15
2012/1/15 7:00,1200,17092.25,34.16
2012/1/15 8:00,1113.5,17808.5,39.3
2012/1/15 9:00,1019.25,18922.25,41.99
2012/1/15 10:00,928,19873.5,41.5
2012/1/15 11:00,877.5,21020.75,45.14
2012/1/15 12:00,842,21422.75,43.61
2012/1/15 13:00,853,21216.5,39.19
2012/1/15 14:00,890,20893.25,38.4
2012/1/15 15:00,904,20524.25,38.3
2012/1/15 16:00,919,20418.75,39.58
2012/1/15 17:00,953.5,22378,46.65
2012/1/15 18:00,981,23049,56.53
2012/1/15 19:00,1003,23145.25,56.19
2012/1/15 20:00,986.25,22369.75,51.97
2012/1/15 21:00,1012.25,21971.25,45.57
2012/1/15 22:00,1029,21951.5,46.7
2012/1/15 23:00,1166.25,20676.5,44.76
2012/1/16 0:00,1106,18797.5,41.94
2012/1/16 1:00,1100.5,18106.25,39.69
2012/1/16 2:00,1132,17909.25,38
2012/1/16 3:00,1157.75,18133.5,33.58
2012/1/16 4:00,1163.5,18458.5,33.47
2012/1/16 5:00,1148.25,19842.5,36.12
2012/1/16 6:00,1152.75,23511,42.29
2012/1/16 7:00,1160.75,26555.75,57.96
2012/1/16 8:00,1174.25,27671.25,60.89
2012/1/16 9:00,1237.5,27517.75,57.05
2012/1/16 10:00,1256.75,27865.75,56.18
2012/1/16 11:00,1301,28415.5,53.28
2012/1/16 12:00,1321,28446.5,53.19
2012/1/16 13:00,1369.25,28366.5,51.9
2012/1/16 14:00,1430.75,28292,49.08
2012/1/16 15:00,1501.5,27871.25,49.93
2012/1/16 16:00,1577,27505.25,52.42
2012/1/16 17:00,1650.5,28979,60.16
2012/1/16 18:00,1729.25,29186.75,70.45
2012/1/16 19:00,1882,28756,61.4
2012/1/16 20:00,2038.75,27456,53.26
2012/1/16 21:00,2157.75,26340.75,45.64
2012/1/16 22:00,2291.5,24782.25,46.96
2012/1/16 23:00,2387,22652.25,43.37
2012/1/17 0:00,2227.25,20769.75,40.14
2012/1/17 1:00,2301.25,20252.25,40.13
2012/1/17 2:00,2356,20389.25,39.93
2012/1/17 3:00,2399.5,20369.5,38.6
2012/1/17 4:00,2372.25,20862,38.08
2012/1/17 5:00,2304,21920,40.14
2012/1/17 6:00,2221.75,24998.25,46.63
2012/1/17 7:00,2133,27453.5,57.39
2012/1/17 8:00,2067.5,28494.5,59.28
2012/1/17 9:00,1982.75,28246.5,57.98
2012/1/17 10:00,1879.5,28600.75,54.12
2012/1/17 11:00,1835.75,28936.5,53.98
2012/1/17 12:00,1753.75,29020.75,52.22
2012/1/17 13:00,1688.25,28797.25,51.28
2012/1/17 14:00,1625.75,28338,49.95
2012/1/17 15:00,1540.75,28483.5,50.13
2012/1/17 16:00,1488.5,28387.75,53.6
2012/1/17 17:00,1470.25,29784.75,61.56
2012/1/17 18:00,1476.5,29938.75,68.2
2012/1/17 19:00,1488.5,29582.75,59.24
2012/1/17 20:00,1549.5,27799.25,52.15
2012/1/17 21:00,1636.5,26822.5,44.57
2012/1/17 22:00,1725.25,25618.75,46.73
2012/1/17 23:00,1825.25,23654.25,44.41
2012/1/18 0:00,1839.75,21672,42.5
2012/1/18 1:00,1933.75,21148,41.5
2012/1/18 2:00,2080,20950.75,40.29
2012/1/18 3:00,2243.75,21019,39.29
2012/1/18 4:00,2406.75,21140.25,39.38
2012/1/18 5:00,2497.5,22170.5,40.1
2012/1/18 6:00,2650.25,25211.75,45.6
2012/1/18 7:00,2876,27430.5,54.8
2012/1/18 8:00,3226.75,28532.5,62.75
2012/1/18 9:00,3612.25,28317,57.62
2012/1/18 10:00,3950.5,28698.25,47.7
2012/1/18 11:00,4045.5,29084,46.32
2012/1/18 12:00,4133.75,29204,44.59
2012/1/18 13:00,4282.75,28977.5,44
2012/1/18 14:00,4607.5,28537,43.12
2012/1/18 15:00,5063.75,28657,44.59
2012/1/18 16:00,5725,28574.25,44.3
2012/1/18 17:00,6459.25,29738,55.27
2012/1/18 18:00,7173.25,29818.75,47.18
2012/1/18 19:00,7601.25,29300,42.05
2012/1/18 20:00,7881.75,27390.5,44.19
2012/1/18 21:00,8012.75,26320.5,43.14
2012/1/18 22:00,8029,25281.25,41.34
2012/1/18 23:00,7915.25,23395,37.31
2012/1/19 0:00,8327.5,21889.25,32.18
2012/1/19 1:00,7798.75,21135.25,31
2012/1/19 2:00,7289.75,20698.5,31.05
2012/1/19 3:00,6842.75,20750,31.27
2012/1/19 4:00,6261.5,20757.5,32.7
2012/1/19 5:00,5823.5,21767.25,37.46
2012/1/19 6:00,5517.25,25088.75,46.59
2012/1/19 7:00,5388,27596.75,53.2
2012/1/19 8:00,5439,28565.5,54.73
2012/1/19 9:00,5537,28078.75,54.61
2012/1/19 10:00,5625.25,28435.75,53.2
2012/1/19 11:00,5639,28905.25,55.97
2012/1/19 12:00,5696.75,28767.25,53.23
2012/1/19 13:00,5899,28555,50.13
2012/1/19 14:00,6113,28214,45.62
2012/1/19 15:00,6258.75,27884,42.57
2012/1/19 16:00,6401.25,27849,42.17
2012/1/19 17:00,6497.5,29230.5,50.26
2012/1/19 18:00,6536,29534.5,57.97
2012/1/19 19:00,6480.25,28838.75,53.06
2012/1/19 20:00,6711.75,27306,46.78
2012/1/19 21:00,7032.25,26056.5,43.34
2012/1/19 22:00,7544,24791.75,44.33
2012/1/19 23:00,7889.25,22760.25,40.38
2012/1/20 0:00,10147.75,21616,31.8
2012/1/20 1:00,9907.25,20896.5,31.54
2012/1/20 2:00,9724,20657.75,30.23
2012/1/20 3:00,9659.25,20969,27.52
2012/1/20 4:00,9596.25,21305.5,28.05
2012/1/20 5:00,9526.5,22340.5,31.17
2012/1/20 6:00,9541,25118.25,39.33
2012/1/20 7:00,9428.25,27383.5,45.95
2012/1/20 8:00,9197,28343.75,49.91
2012/1/20 9:00,8970.5,28315.25,45.87
2012/1/20 10:00,8852.25,28723.75,45.62
2012/1/20 11:00,8754.5,28705,45.57
2012/1/20 12:00,8566,28909,46.08
2012/1/20 13:00,8255.25,28490.25,45.91
2012/1/20 14:00,7832.5,28237.75,46.47
2012/1/20 15:00,7234.25,27568.5,45.24
2012/1/20 16:00,6504.5,27698.25,47.48
2012/1/20 17:00,5894.5,28809.75,55.07
2012/1/20 18:00,5441.25,28761.5,58.46
2012/1/20 19:00,5174.5,27408,51.58
2012/1/20 20:00,4910.75,25522.25,46.44
2012/1/20 21:00,4710.25,24576,41.49
2012/1/20 22:00,4589,23832.25,44.25
2012/1/20 23:00,4536.25,22358.5,44.58
2012/1/21 0:00,4040,20750.5,47.55
2012/1/21 1:00,3976,19833,44
2012/1/21 2:00,3947.25,19287.5,39.88
2012/1/21 3:00,4011,19390.5,35.11
2012/1/21 4:00,4326.5,19400,33.15
2012/1/21 5:00,4847,19357.75,33.06
2012/1/21 6:00,5558.5,19083.5,33.07
2012/1/21 7:00,6432.25,19702.5,35.69
2012/1/21 8:00,7359.25,21190.5,39.56
2012/1/21 9:00,8244.5,22854.75,45
2012/1/21 10:00,9103,23894,43
2012/1/21 11:00,10013.5,24214.5,40.91
2012/1/21 12:00,10781.25,24381.75,40.54
2012/1/21 13:00,11189.5,23654.25,36.89
2012/1/21 14:00,11278,23170,33.29
2012/1/21 15:00,11168,22939.25,33.25
2012/1/21 16:00,11101.5,23194.25,34.41
2012/1/21 17:00,11005.25,24125.5,45.06
2012/1/21 18:00,11233,24036.5,46.89
2012/1/21 19:00,11399.25,23477.25,42.6
2012/1/21 20:00,11690,22137.25,36.94
2012/1/21 21:00,11956,21348,33.02
2012/1/21 22:00,12237,21218,32.74
2012/1/21 23:00,12446.25,20201.5,16.92
2012/1/22 0:00,12208,19024.5,27.28
2012/1/22 1:00,12293.5,18116.25,12.23
2012/1/22 2:00,12469.25,17441,0
2012/1/22 3:00,12682,17393.75,-0.05
2012/1/22 4:00,12798.75,17210.5,-3.53
2012/1/22 5:00,12811,17003.25,-10.05
2012/1/22 6:00,12818.5,16114.25,-100.08
2012/1/22 7:00,12928.75,15774.5,-10
2012/1/22 8:00,12911.75,17533.75,3.05
2012/1/22 9:00,12903.25,18673.75,0.57
2012/1/22 10:00,12806.25,20606,12.29
2012/1/22 11:00,12690.25,22361.5,28.06
2012/1/22 12:00,12434.75,22697.5,19.94
2012/1/22 13:00,11806.25,21901.75,16.81
2012/1/22 14:00,11074.75,21702.5,18.53
2012/1/22 15:00,10491,21583,18.52
2012/1/22 16:00,9994.25,21738.75,22.5
2012/1/22 17:00,9598.75,22943.5,39.93
2012/1/22 18:00,9202.25,23024,42.89
2012/1/22 19:00,8988,22828.5,45.32
2012/1/22 20:00,8667.25,21804.5,38.98
2012/1/22 21:00,8253.75,20883.25,34.4
2012/1/22 22:00,7769.75,20935.75,36.95
2012/1/22 23:00,7360.75,19774.5,33.24
2012/1/23 0:00,6503,18736,31.97
2012/1/23 1:00,5906.5,18388,31.32
2012/1/23 2:00,5472.25,18157.5,30.95
2012/1/23 3:00,5004.25,18511.5,28.04
2012/1/23 4:00,4660,18831.5,28.02
2012/1/23 5:00,4273.25,20181,31.63
2012/1/23 6:00,3952.75,23971,41.15
2012/1/23 7:00,3606.5,26140.5,52.06
2012/1/23 8:00,3450.25,27492.75,55.01
2012/1/23 9:00,3426,27341.5,50.97
2012/1/23 10:00,3481.25,27768.25,50.79
2012/1/23 11:00,3646,28245,51.51
2012/1/23 12:00,3775.25,28213,50.06
2012/1/23 13:00,3847.25,27970.25,47.9
2012/1/23 14:00,3769,27890.5,46.82
2012/1/23 15:00,3661.25,27697.25,45.07
2012/1/23 16:00,3452.25,27364.75,47.42
2012/1/23 17:00,3236.75,28223.25,55.05
2012/1/23 18:00,3105.75,28200.75,60.2
2012/1/23 19:00,3058.5,27546.75,55.15
2012/1/23 20:00,3071.25,25964,47.41
2012/1/23 21:00,2953,24751.75,40.57
2012/1/23 22:00,2844,23785,39.69
2012/1/23 23:00,2631.75,22560.75,37.44
2012/1/24 0:00,2542.25,21587.5,40.23
2012/1/24 1:00,2430.75,20600,38.35
2012/1/24 2:00,2312.5,20160,35.81
2012/1/24 3:00,2249,20405,34.42
2012/1/24 4:00,2148.5,20708.5,35.16
2012/1/24 5:00,2047.25,21895.5,37.34
2012/1/24 6:00,1918,25458.5,42
2012/1/24 7:00,1782,27907.5,55.07
2012/1/24 8:00,1647.5,28490.75,54.93
2012/1/24 9:00,1584.25,28584,55.93
2012/1/24 10:00,1458.75,28957,54.27
2012/1/24 11:00,1333.75,29407,53.99
2012/1/24 12:00,1236.75,29682.5,52.97
2012/1/24 13:00,1159,29560.25,52.35
2012/1/24 14:00,1114.25,29191.75,51.2
2012/1/24 15:00,1103,29167.5,50.97
2012/1/24 16:00,1060.25,28972,55.08
2012/1/24 17:00,1009.75,29846.25,64.5
2012/1/24 18:00,962,29785.5,67.01
2012/1/24 19:00,871,29128,59.32
2012/1/24 20:00,792.5,27611.25,52.99
2012/1/24 21:00,721.25,26229.25,47.96
2012/1/24 22:00,687.25,25229.75,47.96
2012/1/24 23:00,652,23013.5,44.61
2012/1/25 0:00,422,21597.25,41.8
2012/1/25 1:00,441.5,20990.25,39.48
2012/1/25 2:00,464.25,20484.25,38.27
2012/1/25 3:00,503,20539.25,37.18
2012/1/25 4:00,541.75,20783.25,37
2012/1/25 5:00,554.5,21945.25,38.5
2012/1/25 6:00,613.75,25482.5,43.16
2012/1/25 7:00,712.5,28202.75,58.01
2012/1/25 8:00,866,28750,58.04
2012/1/25 9:00,1014.25,28792.25,55.07
2012/1/25 10:00,1120.5,29247,51.5
2012/1/25 11:00,1210,29652,50.24
2012/1/25 12:00,1251,29863.25,47.51
2012/1/25 13:00,1274.5,29763,45.87
2012/1/25 14:00,1329.25,29311.75,45.13
2012/1/25 15:00,1423.5,29246.75,45.11
2012/1/25 16:00,1578,29009.75,46.52
2012/1/25 17:00,1770.25,29980.75,58.02
2012/1/25 18:00,2038,30019,66.09
2012/1/25 19:00,2330.75,29431.5,53.99
2012/1/25 20:00,2592.5,27788.75,47.16
2012/1/25 21:00,2801.5,26443.5,45.35
2012/1/25 22:00,2956.75,25362,42.52
2012/1/25 23:00,3017.5,23042.5,40.28
2012/1/26 0:00,3021.5,21464.75,38.86
2012/1/26 1:00,3035.25,20975,37.73
2012/1/26 2:00,3046,20472,36.45
2012/1/26 3:00,3148.25,20587.5,33.59
2012/1/26 4:00,3343.75,20791.25,33.96
2012/1/26 5:00,3556,21868.25,35.71
2012/1/26 6:00,3778,25026,42.29
2012/1/26 7:00,4037.75,27565.25,54.54
2012/1/26 8:00,4243.25,28169,57.78
2012/1/26 9:00,4385.25,27900.5,51.96
2012/1/26 10:00,4468.75,28283.25,48.51
2012/1/26 11:00,4446.5,28543.5,46.3
2012/1/26 12:00,4527.75,28682.5,42.23
2012/1/26 13:00,4669.5,28819,42.81
2012/1/26 14:00,4889.25,28540.75,43.15
2012/1/26 15:00,5081,28449.75,45.29
2012/1/26 16:00,5312.5,27991.5,46.26
2012/1/26 17:00,5541,28753.5,57.25
2012/1/26 18:00,5715.25,29226.5,58.51
2012/1/26 19:00,5743,28723.25,55.06
2012/1/26 20:00,5564.25,27146.75,49
2012/1/26 21:00,5261,25750.5,42.91
2012/1/26 22:00,4887.75,23818.5,44.94
2012/1/26 23:00,4584.5,22102.75,39.29
2012/1/27 0:00,4897.75,21318,40.58
2012/1/27 1:00,4532.5,20801.25,39.32
2012/1/27 2:00,4198.5,20590.5,37.96
2012/1/27 3:00,3862.5,20843.5,34.95
2012/1/27 4:00,3575,21285.5,34.31
2012/1/27 5:00,3336.5,22488.25,39.65
2012/1/27 6:00,3090,25895.25,42.8
2012/1/27 7:00,2922,28553.75,51.97
2012/1/27 8:00,2732.5,29291.5,55.94
2012/1/27 9:00,2577.5,28917.5,59.15
2012/1/27 10:00,2420.75,28883,58.54
2012/1/27 11:00,2241.25,29304.25,56.68
2012/1/27 12:00,1972,29066,58
2012/1/27 13:00,1822.75,28355.5,51.56
2012/1/27 14:00,1743,27874,47.8
2012/1/27 15:00,1757.75,27434,45.34
2012/1/27 16:00,1821.25,27638,46.04
2012/1/27 17:00,1850.75,28911.25,59.41
2012/1/27 18:00,1904.75,29247.5,65.04
2012/1/27 19:00,1928,28452.5,59.7
2012/1/27 20:00,1871,26797.5,47.99
2012/1/27 21:00,1784.25,26055.25,44.75
2012/1/27 22:00,1700,25042.25,47.91
2012/1/27 23:00,1602.75,23080.5,44.75
2012/1/28 0:00,1202,21035.5,45.5
2012/1/28 1:00,1087.75,20459.75,40.97
2012/1/28 2:00,997.25,20189.5,38.81
2012/1/28 3:00,982,19841,36.57
2012/1/28 4:00,950.5,19731.75,36.58
2012/1/28 5:00,937.75,19686,36.06
2012/1/28 6:00,914.5,19749.5,36.97
2012/1/28 7:00,906,20896.25,39.99
2012/1/28 8:00,874.75,22777.5,43.64
2012/1/28 9:00,816.25,24084.25,48.99
2012/1/28 10:00,768.75,24859.75,51.87
2012/1/28 11:00,664.5,25069.25,52.39
2012/1/28 12:00,642.25,24766.75,52.92
2012/1/28 13:00,607.25,23910.25,49.58
2012/1/28 14:00,680,23431.25,44.29
2012/1/28 15:00,802,23279.75,42.64
2012/1/28 16:00,981,23315.75,43
2012/1/28 17:00,1138.5,24951.5,53.28
2012/1/28 18:00,1257.75,25754.5,60.42
2012/1/28 19:00,1306.25,25082.75,56.99
2012/1/28 20:00,1313.5,23815.25,47.98
2012/1/28 21:00,1291,22866.25,41.16
2012/1/28 22:00,1291,22626.25,45.12
2012/1/28 23:00,1301,21450.5,42.42
2012/1/29 0:00,1400.5,19428.25,42.52
2012/1/29 1:00,1457.5,18837,39.24
2012/1/29 2:00,1536,18717,38.43
2012/1/29 3:00,1606.5,18623,35
2012/1/29 4:00,1675.75,18690.5,33.53
2012/1/29 5:00,1746.5,18444.25,33.38
2012/1/29 6:00,1860,17784.75,33.74
2012/1/29 7:00,1974.25,17852.5,35.12
2012/1/29 8:00,2010,18850.25,35.88
2012/1/29 9:00,2029.75,20331.75,40.5
2012/1/29 10:00,2111.75,21413.5,44.35
2012/1/29 11:00,2210,22743.25,47.99
2012/1/29 12:00,2327.5,22749.75,49.93
2012/1/29 13:00,2473.25,22407.5,44.32
2012/1/29 14:00,2761.5,21960.75,40.08
2012/1/29 15:00,3055.25,21677.75,38.07
2012/1/29 16:00,3303.25,21208.25,37.9
2012/1/29 17:00,3538.75,22650.75,45.9
2012/1/29 18:00,3711.5,23616.5,55.97
2012/1/29 19:00,3786.5,23419.5,55.78
2012/1/29 20:00,3779.25,22817,48.96
2012/1/29 21:00,3736.5,22010,39.16
2012/1/29 22:00,3731,22385.25,44.93
2012/1/29 23:00,3769.75,20717.5,35.26
2012/1/30 0:00,3989.5,19311,34.99
2012/1/30 1:00,4092,18648.25,34.18
